Parameters,StatusLower,StatusUpper,CILower,CIUpper,FittedValues
pk_max,BORDER_FOUND_BY_SCAN_TOL,BORDER_FOUND_BY_SCAN_TOL,0.051736456178658616,0.060663088522371705,0.0558
pk_min,BORDER_FOUND_BY_SCAN_TOL,BORDER_FOUND_BY_SCAN_TOL,0.007980553952423766,0.008110849060744375,0.008
pk_abs,BORDER_FOUND_BY_SCAN_TOL,BORDER_FOUND_BY_SCAN_TOL,0.05660038257930336,0.05714034677510649,0.057
pk_gri,BORDER_FOUND_BY_SCAN_TOL,BORDER_FOUND_BY_SCAN_TOL,0.05321689843159137,0.05936264303177062,0.0558
pf,BORDER_FOUND_BY_SCAN_TOL,SCAN_BOUND_REACHED,0.7698442812902127,,0.9
pb,BORDER_FOUND_BY_SCAN_TOL,BORDER_FOUND_BY_SCAN_TOL,0.8107728080177335,0.8310791544998484,0.82
pc,BORDER_FOUND_BY_SCAN_TOL,BORDER_FOUND_BY_SCAN_TOL,2.7157554258866977e-7,0.01935953022175391,0.01
pk_1,BORDER_FOUND_BY_SCAN_TOL,BORDER_FOUND_BY_SCAN_TOL,0.06439200320176947,0.06592092671688843,0.065
pk_2,BORDER_FOUND_BY_SCAN_TOL,BORDER_FOUND_BY_SCAN_TOL,0.07803605913156554,0.08005486228699232,0.079
pV_m0,BORDER_FOUND_BY_SCAN_TOL,BORDER_FOUND_BY_SCAN_TOL,1.7199279359591861,2.7226129865865523,2.5
pV_mx,BORDER_FOUND_BY_SCAN_TOL,BORDER_FOUND_BY_SCAN_TOL,0.045553443178261155,0.04829495764925017,0.047
pxK_m0,BORDER_FOUND_BY_SCAN_TOL,SCAN_BOUND_REACHED,16.535212007967083,,225.59
pp_2U,BORDER_FOUND_BY_SCAN_TOL,BORDER_FOUND_BY_SCAN_TOL,0.03196498226563694,0.03482253936879409,0.0331
pK,BORDER_FOUND_BY_SCAN_TOL,BORDER_FOUND_BY_SCAN_TOL,1.4879329670887147,4.854336147646282,2.3
pxα_Y,BORDER_FOUND_BY_SCAN_TOL,BORDER_FOUND_BY_SCAN_TOL,0.04845179899607462,0.05194718735281216,0.05
pxβ_Y,BORDER_FOUND_BY_SCAN_TOL,BORDER_FOUND_BY_SCAN_TOL,0.1082059878517257,0.11489375245903766,0.11
pk_e1,BORDER_FOUND_BY_SCAN_TOL,BORDER_FOUND_BY_SCAN_TOL,0.0002996,0.0007004,0.0005
pk_e2,SCAN_BOUND_REACHED,SCAN_BOUND_REACHED,,,339.0
pk_p2,BORDER_FOUND_BY_SCAN_TOL,BORDER_FOUND_BY_SCAN_TOL,0.001450346230281463,0.0022373449537080228,0.0021
pk_p3,BORDER_FOUND_BY_SCAN_TOL,BORDER_FOUND_BY_SCAN_TOL,0.008659404005285906,0.009237716877029888,0.009
pk_p4,SCAN_BOUND_REACHED,SCAN_BOUND_REACHED,,,0.0618
pk_i,BORDER_FOUND_BY_SCAN_TOL,BORDER_FOUND_BY_SCAN_TOL,0.0077681144460080035,0.008598609844334361,0.0079
pV_I,BORDER_FOUND_BY_SCAN_TOL,BORDER_FOUND_BY_SCAN_TOL,0.04891642647204149,0.05032994702521805,0.05
pm_1,BORDER_FOUND_BY_SCAN_TOL,BORDER_FOUND_BY_SCAN_TOL,0.1268902657501635,0.3099591837771696,0.19
pm_5,BORDER_FOUND_BY_SCAN_TOL,BORDER_FOUND_BY_SCAN_TOL,0.029823510046906962,0.030531417986760463,0.0304
pm_6,BORDER_FOUND_BY_SCAN_TOL,BORDER_FOUND_BY_SCAN_TOL,0.6369122096665328,0.64888556277377,0.6471
pIb,BORDER_FOUND_BY_SCAN_TOL,BORDER_FOUND_BY_SCAN_TOL,10.744004465815646,60.90676016134415,25.49
pEGPb,BORDER_FOUND_BY_SCAN_TOL,BORDER_FOUND_BY_SCAN_TOL,1.8564990875549436,1.9748937537848406,1.92
